rt,response,choice_idxs,exp_name,exp_stage,q_name,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,labels,prolificID,start_time,date
10785.0,"{""Q0"":""Sometimes noticed a pattern""}",[2],delaylearn,survey,delay1,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-evan-quiz,69,523342,0.0-22.0,,,5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
4662.0,0.7916666666666666,,delaylearn,survey,state_stress,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-html-vas-response,86,596902,0.0-28.0,"<p style='font-size: 2.2rem; line-height: 1.3'>How would you rate your current stress level?<br><br>Use the scale below, with 1 being the least<br>stressed and 10 being the most stressed:</p><br><br>","['1<br>Low<br>stress', '2', '3', '4', '5', '6', '7', '8', '9', '10<br>High<br>stress']",5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
4571.0,"{""Q0"":""Very good""}",[0],delaylearn,survey,sleep1,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-evan-quiz,87,602237,0.0-29.0,,,5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
3526.0,"{""Q0"":""More sleep""}",[1],delaylearn,survey,sleep2,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-evan-quiz,88,606521,0.0-30.0,,,5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
3156.0,"{""Q0"":""Average""}",[2],delaylearn,survey,sleep3,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-evan-quiz,89,610437,0.0-31.0,,,5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
7800.0,"{""Q0"":""Shorter delay""}",[2],delaylearn,survey,delay2,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-evan-quiz,91,621825,0.0-33.0,,,5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
5162.0,0.7291666666666666,,delaylearn,survey,delay3,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-html-vas-response,92,628512,0.0-34.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Were you at all bothered or frustrated by<br>the longer delays to point feedback?</p><br>,"['Not at all frustrated by long feedback delays', 'Somewhat frustrated', 'Very frustrated by long feedback delays']",5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
6152.0,0.50625,,delaylearn,survey,mood1,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-html-vas-response,93,636182,0.0-35.0,<p style='font-size: 2.2rem; line-height: 1.3'><br>Regarding the <b>happiness ratings</b>:<br>Were you at all bothered or frustrated by<br>the ratings?</p><br>,"['Not at all frustrated by mood ratings', 'Somewhat frustrated', 'Very frustrated by mood ratings']",5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
3594.0,0.9031575202941895,,delaylearn,survey,engagement1,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-html-vas-response,94,641291,0.0-36.0,"<p style=""font-size: 1.8rem; line-height: 1.3;"">How engaged and focused were you during this task?</p>","['Not at all engaged', 'Very engaged']",5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
4868.0,"{""Q0"":""Yes""}",[0],delaylearn,survey,engagement2,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-evan-quiz,95,646930,0.0-37.0,,,5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
12612.799999998882,{'Q0': 'None'},,delaylearn,survey,engagement3,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-survey-text,96,660298,0.0-38.0,,,5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
23761.599999999627,{'Q0': 'Enjoyed the experiment itself. Long feedback delays and the questioning of happiness often was frustrating.'},,delaylearn,survey,comment1,NGNuEau595V5JttzXFtsMnje45B2,not found,lmdlab-survey-text,97,684831,0.0-39.0,,,5ee91ec1ef56832aa7947169,16:51:18,27/03/2024
